code,port_of_entry,city,state_or_country
HMO,"Gen Pesqueira Garcia, Mx",Gen Pesqueira Garcia, Mx
GCM,"Grand Cayman, Cayman Island",Grand Cayman, Cayman Island
GDL,"Guadalajara, Miguel Hidal, Mx","Guadalajara, Miguel Hidal", Mx
HAM,"Hamilton, Bermuda ",Hamilton, Bermuda 
ICN,"Inchon, Seoul Korea",Inchon, Seoul Korea
IWA,"Invalid - Iwakuni, Japan",Invalid - Iwakuni, Japan
CND,"Kogalniceanu, Romania",Kogalniceanu, Romania
LAH,"Labuha Arpt, Indonesia",Labuha Arpt, Indonesia
DUR,"Louis Botha, South Africa",Louis Botha, South Africa
MAL,"Mangole Arpt, Indonesia",Mangole Arpt, Indonesia
MDE,"Medellin, Colombia",Medellin, Colombia
MEX,"Juarez Intl, Mexico City, Mx","Juarez Intl, Mexico City", Mx
LHR,"Middlesex, England",Middlesex, England
NBO,"Nairobi, Kenya ",Nairobi, Kenya 
NAS,"Nassau, Bahamas ",Nassau, Bahamas 
NCA,"North Caicos, Turk & Caiman",North Caicos, Turk & Caiman
PTY,"Omar Torrijos, Panama",Omar Torrijos, Panama
SPV,"Papua, New Guinea",Papua, New Guinea
UIO,"Quito (Mariscal Sucr), Ecuador",Quito (Mariscal Sucr), Ecuador
RIT,"Rome, Italy ",Rome, Italy 
SNO,"Sakon Nakhon #Arpt, Thailand",Sakon Nakhon #Arpt, Thailand
SLP,"San Luis Potosi #Arpt, Mexico",San Luis Potosi #Arpt, Mexico
SAN,"San Salvador, El Salvador",San Salvador, El Salvador
SRO,"Santana Ramos #Arpt, Colombia",Santana Ramos #Arpt, Colombia
GRU,"Guarulhos Intl, Sao Paulo, Brazil","Guarulhos Intl, Sao Paulo", Brazil
SHA,"Shannon, Ireland ",Shannon, Ireland 
HIL,"Shillavo, Ethiopia",Shillavo, Ethiopia
TOK,"Torokina #Arpt, Papua, New Guinea","Torokina #Arpt, Papua", New Guinea
VER,"Veracruz, Mexico",Veracruz, Mexico
LGW,"West Sussex, England ",West Sussex, England 
ZZZ,Mexico Land (Banco De Mexico) ,Mexico Land (Banco De Mexico) ,
CHN,No Port Code (Chn),No Port Code (Chn),
CNC,"Cannon Corners, Ny",Cannon Corners, Ny
MAA,Abu Dhabi,Abu Dhabi,
AG0,"Magnolia, Ar",Magnolia, Ar
BHM,"Bar Harbor, Me",Bar Harbor, Me
BHX,"Birmingham, Al",Birmingham, Al
CAK,"Akron, Oh",Akron, Oh
FOK,"Suffolk County, Ny",Suffolk County, Ny
LND,"Lander, Wy",Lander, Wy
MAR,"Marfa, Tx",Marfa, Tx
MLI,"Moline, Il",Moline, Il
RIV,"Riverside, Ca",Riverside, Ca
RME,"Rome, Ny",Rome, Ny
VNY,"Van Nuys, Ca",Van Nuys, Ca
YUM,"Yuma, Az",Yuma, Az
FRG,Collapsed (Fok) 06/15,Collapsed (Fok) 06/15,
HRL,Collapsed (Hlg) 06/15,Collapsed (Hlg) 06/15,
ISP,Collapsed (Fok) 06/15,Collapsed (Fok) 06/15,
JSJ,Collapsed (Saj) 06/15,Collapsed (Saj) 06/15,
BUS,Collapsed (Buf) 06/15,Collapsed (Buf) 06/15,
IAG,Collapsed (Nia) 06/15,Collapsed (Nia) 06/15,
PHN,Collapsed (Phu) 06/15,Collapsed (Phu) 06/15,
STN,Collapsed (Str) 06/15,Collapsed (Str) 06/15,
VMB,Collapsed (Vnb) 06/15,Collapsed (Vnb) 06/15,
T01,Collapsed (Sea) 06/15,Collapsed (Sea) 06/15,
PHF,No Port Code (Phf),No Port Code (Phf),
DRV,No Port Code (Drv),No Port Code (Drv),
FTB,No Port Code (Ftb),No Port Code (Ftb),
GAC,No Port Code (Gac),No Port Code (Gac),
GMT,No Port Code (Gmt),No Port Code (Gmt),
JFA,No Port Code (Jfa),No Port Code (Jfa),
JMZ,No Port Code (Jmz),No Port Code (Jmz),
NC8,No Port Code (Nc8),No Port Code (Nc8),
NYL,No Port Code (Nyl),No Port Code (Nyl),
OAI,No Port Code (Oai),No Port Code (Oai),
PCW,No Port Code (Pcw),No Port Code (Pcw),
WA5,No Port Code (Was),No Port Code (Was),
WTR,No Port Code (Wtr),No Port Code (Wtr),
X96,No Port Code (X96),No Port Code (X96),
XNA,No Port Code (Xna),No Port Code (Xna),
YGF,No Port Code (Ygf),No Port Code (Ygf),
5T6,No Port Code (5T6),No Port Code (5T6),
060,No Port Code (60),No Port Code (60),
SP0,No Port Code (Sp0),No Port Code (Sp0),
W55,No Port Code (W55),No Port Code (W55),
X44,No Port Code (X44),No Port Code (X44),
AUH,No Port Code (Auh),No Port Code (Auh),
RYY,No Port Code (Ryy),No Port Code (Ryy),
SUS,No Port Code (Sus),No Port Code (Sus),
74S,No Port Code (74S),No Port Code (74S),
ATW,No Port Code (Atw),No Port Code (Atw),
CPX,No Port Code (Cpx),No Port Code (Cpx),
MTH,No Port Code (Mth),No Port Code (Mth),
PFN,No Port Code (Pfn),No Port Code (Pfn),
SCH,No Port Code (Sch),No Port Code (Sch),
ASI,No Port Code (Asi),No Port Code (Asi),
BKF,No Port Code (Bkf),No Port Code (Bkf),
DAY,No Port Code (Day),No Port Code (Day),
Y62,No Port Code (Y62),No Port Code (Y62),
AG,No Port Code (Ag),No Port Code (Ag),
BCM,No Port Code (Bcm),No Port Code (Bcm),
DEC,No Port Code (Dec),No Port Code (Dec),
PLB,No Port Code (Plb),No Port Code (Plb),
CXO,No Port Code (Cxo),No Port Code (Cxo),
JBQ,No Port Code (Jbq),No Port Code (Jbq),
JIG,No Port Code (Jig),No Port Code (Jig),
OGS,No Port Code (Ogs),No Port Code (Ogs),
TIW,No Port Code (Tiw),No Port Code (Tiw),
OTS,No Port Code (Ots),No Port Code (Ots),
AMT,No Port Code (Amt),No Port Code (Amt),
EGE,No Port Code (Ege),No Port Code (Ege),
GPI,No Port Code (Gpi),No Port Code (Gpi),
NGL,No Port Code (Ngl),No Port Code (Ngl),
OLM,No Port Code (Olm),No Port Code (Olm),
.GA,No Port Code (.Ga),No Port Code (.Ga),
CLX,No Port Code (Clx),No Port Code (Clx),
CP ,No Port Code (Cp),No Port Code (Cp),
FSC,No Port Code (Fsc),No Port Code (Fsc),
NK,No Port Code (Nk),No Port Code (Nk),
ADU,No Port Code (Adu),No Port Code (Adu),
AKT,No Port Code (Akt),No Port Code (Akt),
LIT,No Port Code (Lit),No Port Code (Lit),
A2A,No Port Code (A2A),No Port Code (A2A),
OSN,No Port Code (Osn),No Port Code (Osn),
